1,C,D,False
2,C,C,True
3,C,C,True
4,B,C,False
5,A,B,False
6,A,D,False
7,D,A,False
8,B,B,True
9,D,A,False
10,C,D,False
11,D,D,True
12,C,D,False
13,D,C,False
14,A,B,False
15,C,A,False
16,D,A,False
17,B,B,True
18,B,C,False
19,C,C,True
20,B,A,False
21,B,B,True
22,A,C,False
23,B,A,False
24,D,C,False
25,B,D,False
26,A,B,False
27,B,C,False
28,A,A,True
29,B,B,True
30,C,C,True
31,D,D,True
32,C,C,True
33,A,A,True
34,B,D,False
35,A,C,False
36,D,A,False
37,B,D,False
38,C,C,True
39,A,C,False
40,D,C,False
41,B,B,True
42,B,A,False
43,A,A,True
44,D,A,False
45,B,B,True
46,A,A,True
47,A,A,True
48,D,A,False
49,A,A,True
50,B,A,False
51,C,C,True
52,B,B,True
53,C,B,False
54,D,D,True
55,C,C,True
56,A,A,True
57,D,C,False
58,D,D,True
59,C,C,True
60,D,C,False
61,A,A,True
62,A,D,False
63,D,C,False
64,D,B,False
65,C,B,False
66,D,D,True
67,B,B,True
68,B,C,False
69,B,D,False
70,D,C,False
71,C,C,True
72,B,B,True
73,B,B,True
74,A,A,True
75,A,C,False
76,A,A,True
77,A,A,True
78,C,C,True
79,D,D,True
80,C,C,True
81,C,A,False
82,A,A,True
83,D,D,True
84,C,C,True
85,C,C,True
86,A,C,False
87,C,C,True
88,A,A,True
89,B,B,True
90,C,B,False
91,A,A,True
92,A,B,False
93,B,C,False
94,A,A,True
95,C,A,False
96,C,C,True
97,B,B,True
98,A,A,True
99,C,C,True
100,D,D,True
101,C,B,False
102,A,A,True
103,B,B,True
104,B,A,False
105,C,C,True
106,B,B,True
107,A,A,True
108,C,C,True
109,C,C,True
110,A,D,False
111,B,C,False
112,A,D,False
113,D,C,False
