1,A,D,False
2,C,C,True
3,A,C,False
4,D,C,False
5,C,B,False
6,B,D,False
7,A,A,True
8,B,B,True
9,A,A,True
10,A,D,False
11,D,D,True
12,C,D,False
13,C,C,True
14,B,B,True
15,D,A,False
16,A,A,True
17,B,B,True
18,C,C,True
19,D,C,False
20,D,A,False
21,B,B,True
22,B,C,False
23,C,A,False
24,C,C,True
25,A,D,False
26,A,B,False
27,A,C,False
28,A,A,True
29,A,B,False
30,C,C,True
31,D,D,True
32,A,C,False
33,A,A,True
34,A,D,False
35,A,C,False
36,B,A,False
37,B,D,False
38,C,C,True
39,C,C,True
40,D,C,False
41,B,B,True
42,D,A,False
43,A,A,True
44,D,A,False
45,A,B,False
46,A,A,True
47,A,A,True
48,D,A,False
49,B,A,False
50,D,A,False
51,B,C,False
52,B,B,True
53,A,B,False
54,D,D,True
55,C,C,True
56,A,A,True
57,C,C,True
58,B,D,False
59,B,C,False
60,D,C,False
61,D,A,False
62,D,D,True
63,D,C,False
64,B,B,True
65,A,B,False
66,C,D,False
67,B,B,True
68,D,C,False
69,D,D,True
70,A,C,False
71,C,C,True
72,B,B,True
73,B,B,True
74,D,A,False
75,A,C,False
76,A,A,True
77,A,A,True
78,C,C,True
79,A,D,False
80,C,C,True
81,A,A,True
82,A,A,True
83,D,D,True
84,C,C,True
85,C,C,True
86,A,C,False
87,C,C,True
88,A,A,True
89,C,B,False
90,B,B,True
91,A,A,True
92,B,B,True
93,B,C,False
94,C,A,False
95,C,A,False
96,C,C,True
97,B,B,True
98,A,A,True
99,C,C,True
100,D,D,True
101,B,B,True
102,A,A,True
103,B,B,True
104,A,A,True
105,C,C,True
106,B,B,True
107,A,A,True
108,D,C,False
109,C,C,True
110,D,D,True
111,A,C,False
112,D,D,True
113,A,C,False
