Nombre,Pregunta 1,Pregunta 2,Pregunta 3,Pregunta 4,Pregunta 5,Pregunta 6,Pregunta 7,Pregunta 8,Pregunta 9,Pregunta 10,Pregunta 11,Pregunta 12,Pregunta 13,Pregunta 14,Pregunta 15,Pregunta 16,Pregunta 17,Pregunta 18,Pregunta 19,Pregunta 20,Pregunta 21,Pregunta 22,Pregunta 23,Pregunta 24,Pregunta 25,Pregunta 26,Pregunta 27,Pregunta 28,Pregunta 29,Pregunta 30,Pregunta 31,Pregunta 32,Pregunta 33,Pregunta 34,Pregunta 35,Pregunta 36,Pregunta 37,Pregunta 38,Pregunta 39,Pregunta 40,Pregunta 41,Pregunta 42,Pregunta 43,Pregunta 44,Pregunta 45,Pregunta 46,Pregunta 47,Pregunta 48,Pregunta 49,Pregunta 50,Pregunta 51,Pregunta 52,Pregunta 53,Pregunta 54,Pregunta 55,Pregunta 56,Pregunta 57,Pregunta 58,Pregunta 59,Pregunta 60,Pregunta 61,Pregunta 62,Pregunta 63,Pregunta 64,Pregunta 65,Pregunta 66,Pregunta 67,Pregunta 68,Pregunta 69,Pregunta 70,Pregunta 71,Pregunta 72,Pregunta 73,Pregunta 74,Pregunta 75,Pregunta 76,Pregunta 77,Pregunta 78,Pregunta 79,Pregunta 80,Pregunta 81,Pregunta 82,Pregunta 83,Pregunta 84,Pregunta 85,Pregunta 86,Pregunta 87,Pregunta 88,Pregunta 89,Pregunta 90,Pregunta 91,Pregunta 92,Pregunta 93,Pregunta 94,Pregunta 95,Pregunta 96,Pregunta 97,Pregunta 98,Pregunta 99,Pregunta 100,Pregunta 101,Pregunta 102,Pregunta 103,Pregunta 104,Pregunta 105,Pregunta 106,Pregunta 107,Pregunta 108,Pregunta 109,Pregunta 110,Pregunta 111,Pregunta 112,Pregunta 113,Pregunta 114,Pregunta 115,Pregunta 116,Pregunta 117,Pregunta 118,Pregunta 119,Pregunta 120
scan_11,A,A,B,C,D,C,A,C,D,B,B,D,D,A,B,B,C,B,B,D,C,D,B,C,A,D,C,B,B,C,A,D,A,B,C,C,B,A,A,B,B,B,A,B,A,D,B,D,A,A,B,C,D,A,C,B,C,D,C,B,B,B,D,B,C,D,C,B,B,A,B,C,B,C,A,B,C,A,C,C,D,A,B,B,A,D,A,C,B,D,C,A,C,C,B,B,A,C,B,D,C,B,B,B,C,B,D,C,B,D,D,C,C,A,C,C,A,D,A,D
scan_12,B,D,B,D,A,B,D,B,A,B,B,D,C,A,D,A,A,B,D,B,B,B,A,C,B,D,C,B,D,C,A,C,A,B,A,C,C,A,B,B,C,B,D,B,A,C,B,C,A,A,C,A,A,C,C,A,B,A,C,D,B,C,A,B,A,D,A,C,D,A,B,C,B,C,A,B,C,A,D,C,A,D,C,B,C,D,D,A,B,C,C,A,A,C,A,B,B,C,A,D,C,B,C,B,C,B,D,C,D,D,D,C,C,A,C,A,A,D,B,B
scan_13,A,B,A,C,C,C,D,C,C,A,B,D,C,B,C,C,A,D,D,B,C,C,A,D,C,B,C,B,B,C,A,A,A,D,A,C,C,C,A,C,D,D,C,A,A,D,B,A,D,A,C,C,B,C,C,D,D,A,C,B,B,C,A,B,C,D,A,B,B,B,D,C,B,D,C,A,C,A,C,C,C,B,C,B,C,D,A,B,C,D,B,D,A,C,C,B,C,C,B,D,C,B,B,B,C,B,D,C,B,D,D,C,C,A,C,A,A,D,B,A
scan_14,A,X,B,X,A,C,D,B,B,C,A,C,D,A,A,D,B,B,X,A,D,B,B,C,B,B,C,C,B,B,A,D,B,C,A,C,B,C,A,B,A,A,A,B,A,A,B,D,A,C,A,A,D,D,C,D,A,A,C,D,B,D,C,B,A,A,A,B,B,X,B,C,C,C,C,B,D,A,C,B,C,B,C,B,D,C,A,B,B,D,B,A,A,C,C,B,D,C,B,D,A,B,B,B,C,B,D,C,B,D,D,A,C,A,C,A,A,D,B,B
scan_15,B,D,B,C,A,A,A,B,A,D,B,B,C,C,A,C,A,C,D,B,A,C,A,D,D,B,A,B,A,D,B,C,A,B,A,C,C,D,A,C,A,B,A,A,A,D,B,C,D,B,C,D,C,D,C,D,A,D,C,D,C,C,A,A,D,A,A,B,B,B,A,C,B,C,C,C,C,A,D,B,A,B,C,B,A,A,A,C,D,B,A,C,A,C,B,B,A,C,B,B,C,C,A,B,C,B,D,C,B,D,D,C,C,B,C,A,A,D,B,D
scan_16,D,A,B,D,C,D,C,B,D,D,B,D,D,B,A,C,D,B,C,B,D,A,B,D,C,D,A,C,B,B,B,X,B,D,A,C,B,X,B,C,A,C,B,B,B,B,A,C,D,B,A,D,C,D,B,B,C,C,C,D,B,D,A,A,D,B,D,B,B,B,A,C,B,C,A,B,C,A,D,C,A,D,C,B,A,D,A,A,C,C,B,A,A,C,C,B,C,C,B,A,C,B,B,B,C,B,D,C,B,D,D,C,C,A,C,A,A,D,B,A
scan_17,D,C,B,C,C,D,A,B,C,B,B,D,D,A,A,C,A,B,B,B,A,A,A,C,A,B,C,C,B,A,A,A,B,B,A,C,B,B,B,D,D,B,A,B,D,D,B,C,A,C,B,C,A,A,C,D,B,D,C,D,B,C,A,B,B,C,D,B,C,B,A,C,B,C,C,C,A,A,C,C,B,B,C,B,B,D,A,C,A,D,B,A,A,C,C,B,A,D,A,A,C,C,C,C,B,B,D,C,B,D,D,C,B,A,B,A,B,D,B,A
scan_18,D,A,B,C,A,B,A,C,D,C,C,B,C,A,C,C,D,C,C,B,C,A,C,A,C,A,B,C,B,B,A,C,B,D,C,C,C,B,D,C,A,B,D,A,B,B,A,A,D,C,A,D,A,D,C,D,C,D,C,B,B,C,B,B,C,D,B,B,C,B,B,C,C,C,D,B,A,B,D,C,A,B,B,B,B,D,A,B,C,B,B,B,C,C,C,B,C,D,B,C,C,B,B,B,C,B,D,C,B,D,B,C,C,B,C,A,A,C,B,C
scan_19,B,B,A,A,A,A,D,B,C,B,B,A,D,C,A,B,A,C,B,C,C,B,B,B,C,C,B,C,A,D,A,A,D,B,A,C,C,C,A,B,A,B,A,B,C,D,A,D,D,B,B,D,B,D,C,A,A,A,B,B,C,D,B,A,D,C,D,B,B,A,D,C,B,C,C,A,C,B,A,C,A,B,A,B,A,D,A,C,C,A,A,A,A,A,B,B,C,B,A,D,C,B,B,B,C,B,D,C,B,D,D,C,C,A,B,C,A,D,B,C
scan_20,C,B,B,C,A,B,D,A,C,B,A,D,C,B,C,B,A,C,B,A,B,B,B,C,A,C,C,B,D,A,D,C,A,D,A,C,B,C,B,C,D,B,A,A,B,B,B,D,A,A,C,D,B,A,C,C,A,B,C,A,B,A,D,B,D,A,C,B,B,A,B,C,D,A,C,A,C,C,B,C,B,A,C,B,C,A,A,B,B,C,A,A,C,C,C,B,A,D,B,C,C,B,B,B,D,B,D,C,B,D,D,C,C,A,C,A,A,D,B,C
scan_21,A,A,A,B,A,D,D,D,A,A,B,A,A,A,C,A,A,B,D,X,B,D,B,D,A,A,B,C,A,A,C,D,A,B,B,C,C,A,D,A,A,B,D,B,A,C,B,A,B,A,C,C,C,C,B,D,C,B,D,B,A,B,B,D,C,C,B,C,B,A,D,C,B,C,D,D,B,B,C,C,C,A,C,B,A,D,B,C,A,A,A,B,B,C,B,B,C,B,A,B,B,B,D,A,C,B,D,C,B,D,D,C,D,A,D,A,A,D,C,C
scan_22,D,B,C,A,B,A,B,B,B,A,C,D,B,C,D,A,B,D,B,C,C,B,C,A,A,A,C,B,D,D,A,C,A,D,A,C,B,A,A,C,C,C,A,B,D,D,A,C,D,B,D,D,A,A,C,D,C,A,C,B,B,C,B,A,D,B,B,D,B,A,D,C,C,C,A,B,C,A,B,C,A,A,C,B,B,D,A,B,B,C,C,A,C,C,C,B,A,C,B,A,C,B,B,B,C,B,D,C,B,D,D,C,C,A,C,A,A,D,B,C
scan_23,B,D,D,C,A,D,D,B,A,B,A,C,A,C,B,D,A,B,C,C,B,A,D,C,B,D,C,A,B,D,B,C,D,B,B,C,B,A,A,B,A,B,D,D,C,D,A,C,D,D,C,A,C,C,C,A,B,A,C,B,D,A,B,A,A,C,D,C,A,B,A,C,B,D,C,C,C,A,C,C,A,B,C,B,B,D,A,C,C,C,A,C,C,C,A,B,A,A,A,D,A,B,B,B,C,A,D,C,B,D,D,C,C,A,C,A,B,A,D,B
scan_24,A,C,C,D,C,B,D,A,D,C,D,D,B,C,A,B,C,B,C,D,A,C,B,C,D,C,C,C,A,D,D,B,D,C,A,C,D,B,A,C,B,D,C,A,D,D,B,C,D,A,B,A,B,C,C,C,A,D,C,B,B,C,D,C,A,C,B,B,A,A,B,C,B,C,C,D,C,D,D,C,C,D,C,B,A,A,A,A,B,D,B,A,B,C,C,B,A,D,B,B,C,B,B,C,D,B,D,C,B,D,D,A,C,A,D,A,A,D,B,C
